scientificName,decimalLatitude,decimalLongitude,bio01_Annual_Mean_Temperature,bio05_Max_Temperature_Warmest_Month,bio06_Min_Temperature_Coldest_Month,bio10_Mean_Temperature_Warmest_Quarter,bio11_Mean_Temperature_Coldest_Quarter,bio04_Temperature_Seasonality,bio12_Annual_Precipitation,Elevation_m
Andropogon gerardii,19.6667,-101.233,17.8491668701172,30.9200000762939,4.21199989318848,20.5480003356934,14.9546661376953,221.858474731445,791,1901
Andropogon gerardii,36.776478,-103.975636,8.53066635131836,28.3680000305176,-10.4200000762939,18.5693340301514,-1.09466660022736,805.060974121094,432,2154
Andropogon gerardii,38.342822,-95.02864,12.9218330383301,32.2319984436035,-7.19999980926514,24.7740001678467,0.174000069499016,988.728881835938,998,305
Andropogon gerardii,45.79615,-98.15205,6.11783361434937,29.1720008850098,-18.2040004730225,20.8553333282471,-10.0433330535889,1252.12341308594,499,393
Andropogon gerardii,49.388111,-98.301558,2.88433337211609,25.3400001525879,-21.7399997711182,18.1926670074463,-14.4726667404175,1328.50537109375,541,340
Andropogon gerardii,41.99,-72.60361,9.70699977874756,29.1119995117188,-9.11200046539307,21.2506675720215,-2.28399991989136,950.4111328125,1123,34
Andropogon gerardii,39.95634,-96.71113,11.6223335266113,32.4519996643066,-9.6879997253418,24.4766654968262,-1.88466656208038,1061.19677734375,784,376
Andropogon gerardii,49.717,-99.625,2.76833343505859,26.4879989624023,-22.92799949646,18.4500007629395,-14.8193330764771,1351.369140625,489,367
Andropogon gerardii,38.586667,-93.251667,12.3273334503174,31.6079998016357,-7.9520001411438,24.1560001373291,-0.415333300828934,987.887084960938,1031,278
Andropogon gerardii,39.740978,-76.03869,11.53600025177,29.2000007629395,-5.48799991607666,22.4400005340576,0.283333331346512,898.343200683594,1151,141
Andropogon gerardii,47.14075,-100.41095,4.62716674804688,27.7880001068115,-19.2840003967285,19.1673336029053,-11.2720003128052,1234.62854003906,428,633
Andropogon gerardii,48.543889,-96.009722,2.94466662406921,26.1319999694824,-22.7840003967285,18.1653327941895,-14.4053335189819,1321.08093261719,536,362
Andropogon gerardii,53.1638,-99.2697,0.413333386182785,23.011999130249,-24.3799991607666,16.3040008544922,-17.2266654968262,1356.51086425781,486,231
Andropogon gerardii,44.930893,-95.722264,6.73266649246216,28.8999996185303,-17.2119998931885,21.1660003662109,-9.3439998626709,1235.75036621094,629,296
Andropogon gerardii,38.9488889,-91.9944444,12.0228328704834,31.2000007629395,-8.12400054931641,23.8813323974609,-0.866666734218597,994.862976074219,1018,261
Andropogon gerardii,38.9472222,-91.9958333,12.0228328704834,31.2000007629395,-8.12400054931641,23.8813323974609,-0.866666734218597,994.862976074219,1018,261
Andropogon gerardii,45.805557,-95.088058,5.78783321380615,27.8279991149902,-18.2080001831055,20.265998840332,-10.3633337020874,1242.22607421875,656,408
Andropogon gerardii,44.131908,-91.718763,7.44766664505005,28.3159999847412,-15.3199996948242,21.0019989013672,-7.70666646957397,1157.98962402344,812,246
Andropogon gerardii,38.954773,-94.978449,12.6099996566772,32.1199989318848,-7.80000019073486,24.7646675109863,-0.446000099182129,1014.05334472656,1004,272
Andropogon gerardii,28.5315,-106.263802,15.614333152771,31.7520008087158,-1.02400004863739,22.0540008544922,8.81999969482422,541.001159667969,473,1898
Andropogon gerardii,40.491381,-79.920255,11.2574996948242,29.992000579834,-6.69600009918213,22.2719993591309,-0.251333266496658,913.044799804688,976,274
Andropogon gerardii,34.738609,-94.681663,15.2701663970947,32.2840003967285,-2.32800006866455,24.8800010681152,5.0406665802002,801.789916992188,1316,414
Andropogon gerardii,49.288,-98.626,2.29233336448669,24.7999992370605,-22.57200050354,17.5753326416016,-15.050666809082,1330.04956054688,545,469
Andropogon gerardii,49.7632194527231,-99.6772515508325,2.74000000953674,26.435998916626,-22.9799995422363,18.4153327941895,-14.8466672897339,1350.17175292969,486,367
Andropogon gerardii,45.11666,-87.65,6.86683320999146,27.3159999847412,-13.539999961853,19.6480007171631,-6.68199968338013,1064.31201171875,810,186
Andropogon gerardii,49.1,-95.833333,2.35616660118103,25.2759990692139,-24.1840000152588,17.6226654052734,-15.3020000457764,1334.35632324219,589,351
Andropogon gerardii,50.0166669990715,-96.883333,2.24650001525879,25.3519992828369,-23.5160007476807,18.0166664123535,-15.7333335876465,1369.13146972656,579,254
Andropogon gerardii,48.695736,-96.572771,3.06366658210754,26.4119987487793,-22.8279991149902,18.4340000152588,-14.5553331375122,1338.73828125,493,307
Andropogon gerardii,50.635,-96.505,1.75166666507721,24.2520008087158,-23.7600002288818,17.3339996337891,-15.9440002441406,1346.96850585938,515,238
Andropogon gerardii,39.738558,-104.891964,10.3098335266113,31.3039989471436,-8.20399951934814,21.4966659545898,0.203333303332329,867.408569335938,413,1641
Andropogon gerardii,44.262693,-95.699254,6.78250026702881,28.1800003051758,-16.3279991149902,20.8933334350586,-8.81799983978271,1203.61096191406,654,422
Andropogon gerardii,50.582903485446,-96.5172120998101,1.80133330821991,24.4079990386963,-23.7520008087158,17.3819999694824,-15.9173336029053,1348.01062011719,521,250
Andropogon gerardii,38.183479999083,-95.27083,12.9683332443237,32.2120018005371,-7.19999980926514,24.8166675567627,0.234000042080879,989.495971679688,1007,338
Andropogon gerardii,49.166667,-96.666667,2.5918333530426,25.7880001068115,-23.1359996795654,17.9820003509521,-15.0299997329712,1339.70324707031,575,290
Andropogon gerardii,38.246406,-95.326014,13.0238332748413,32.3359985351562,-7.27200031280518,24.9333343505859,0.193999961018562,995.241943359375,999,322
Andropogon gerardii,19.8333,-99.9167,13.2621669769287,24.4160003662109,0.124000005424023,15.3959999084473,10.438666343689,206.341583251953,804,2530
Andropogon gerardii,49.130111,-96.657111,2.6453332901001,26.0160007476807,-23.1000003814697,18.0979995727539,-15.0446662902832,1344.57495117188,565,293
Andropogon gerardii,49.833333,-99.95,2.6581666469574,26.3719997406006,-23.0520000457764,18.3353328704834,-14.8979997634888,1348.556640625,477,391
Andropogon gerardii,43.767743,-91.42281,7.69033336639404,28.3080005645752,-14.8159999847412,21.1180000305176,-7.40666675567627,1151.07055664062,811,232
Andropogon gerardii,43.58581,-103.44618,7.78049993515015,28.9599990844727,-10.8280000686646,19.4653339385986,-2.90466666221619,912.492431640625,456,1299
Andropogon gerardii,39.0821,-76.7882,12.793833732605,30.4479999542236,-4.3120002746582,23.3733329772949,1.91999995708466,867.882690429688,1130,48
Andropogon gerardii,42.5003,-87.8171,8.55300045013428,26.6840000152588,-10.5600004196167,20.3553333282471,-4.19199991226196,994.559020996094,876,182
Andropogon gerardii,43.73811,-99.30146,8.31149959564209,30.9759998321533,-14.6040000915527,22.0786666870117,-6.11133337020874,1145.77966308594,528,503
Andropogon gerardii,44.362206,-96.096396,6.39349985122681,28.1000003814697,-16.7200012207031,20.5306663513184,-9.10866737365723,1200.62756347656,629,504
Andropogon gerardii,49.288,-98.626,2.29233336448669,24.7999992370605,-22.57200050354,17.5753326416016,-15.050666809082,1330.04956054688,545,469
Andropogon gerardii,37.541389,-110.626389,14.9530000686646,37.4280014038086,-4.03999996185303,27.4006671905518,2.96933341026306,987.447326660156,144,1181
Andropogon gerardii,43.75527,-101.93599,8.9995002746582,31.8239994049072,-12.0480003356934,22.2633323669434,-3.91733336448669,1064.23046875,435,790
Andropogon gerardii,48.774426,-96.946447,3.50449991226196,26.8999996185303,-22.0799999237061,19.0433330535889,-14.307333946228,1356.15124511719,481,246
Andropogon gerardii,45.428747,-94.042818,6.30683326721191,28.4079990386963,-17.8400001525879,20.5713329315186,-9.76000022888184,1230.24401855469,700,297
Andropogon gerardii,41.132011,-99.107049,9.67399978637695,31.011999130249,-11.8360004425049,22.6066665649414,-3.56399989128113,1057.43566894531,635,657
Andropogon gerardii,44.372537,-95.970678,6.49633359909058,28.1879997253418,-16.5480003356934,20.6706676483154,-9.01799964904785,1202.27172851562,633,477
Andropogon gerardii,50.4,-95.766667,1.99566662311554,24.7199993133545,-23.6840000152588,17.4933338165283,-15.6946668624878,1341.87890625,537,262
